"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"LINC02541",9.45664292935111,0.116803239835749,0.614131423197527,0.190192579997948,0.849158225305932,0.999975617694874,"LINC02541"
"ENSG00000231912",0.0874690028815455,-0.0829744328601875,3.33320894409395,-0.0248932587941144,0.980140104272561,NA,"ENSG00000231912"
"ENSG00000219758",0.174533752637437,0.356707057797263,1.64990093270469,0.216199076396977,0.828832573451907,NA,"ENSG00000219758"
"MARCKS",1800.5919951902,-0.123342239235489,0.28486614061551,-0.43298315120563,0.665027010285994,0.999975617694874,"MARCKS"
"LINC01268",9.98050050743234,0.14947060177274,0.523375595073238,0.285589552091789,0.775192506550112,0.999975617694874,"LINC01268"
"ENSG00000175967",3.8476468121286,0.23337260920494,0.581994555985435,0.400987615442198,0.688429242005682,0.999975617694874,"ENSG00000175967"
"HDAC2",627.379931498955,0.196517469670577,0.353434670127713,0.556022049561707,0.578195781438128,0.999975617694874,"HDAC2"
"HDAC2-AS2",13.8071726128475,0.884354049347275,0.447737745237288,1.97516081401311,0.0482499012802406,0.939483874234198,"HDAC2-AS2"
"NUDT19P3",0.0347769292060697,-0.137934035042354,3.33320894409395,-0.0413817547462052,0.966991557940207,NA,"NUDT19P3"
"HS3ST5",16.1777800308818,-0.365467869133915,0.869610627023095,-0.420266102755675,0.674291069754017,0.999975617694874,"HS3ST5"
"RPSAP43",3.65713601287229,-3.1677391470155,1.39473458881587,-2.27121286904121,0.0231340947553935,0.762751020855643,"RPSAP43"
"RNA5SP213",0.402116420544233,0.246789073979505,1.14647566788982,0.215258885026091,0.829565483191728,NA,"RNA5SP213"
"DNAJA1P4",0,NA,NA,NA,NA,NA,"DNAJA1P4"
"ENSG00000232395",0,NA,NA,NA,NA,NA,"ENSG00000232395"
"ENSG00000226079",0.0175078234658761,-0.0692352353367703,3.33320894409395,-0.0207713457205996,0.983428055608598,NA,"ENSG00000226079"
"RNU6-475P",0,NA,NA,NA,NA,NA,"RNU6-475P"
"ENSG00000219619",0.0872214863112363,-0.0829744328601873,3.33320894409395,-0.0248932587941143,0.980140104272561,NA,"ENSG00000219619"
"LINC02534",0.0701668702243643,0.507836369443228,3.33320894409395,0.152356596289306,0.878905688500271,NA,"LINC02534"
"FRK",658.440999419176,-0.184416659461202,0.372248881795113,-0.495412259056041,0.620309142988431,0.999975617694874,"FRK"
"TPI1P3",0.122365796278271,0.301745562280396,2.17002377318439,0.139051731141913,0.889409270537462,NA,"TPI1P3"
"NT5DC1",250.468127921552,-0.0535802888221053,0.27534710131974,-0.194591802729336,0.845712520862089,0.999975617694874,"NT5DC1"
"COL10A1",319.872370252297,-0.43392808235505,0.4496565990861,-0.965021047699473,0.334534269677593,0.999975617694874,"COL10A1"
"NIP7P3",1.32751337931815,-0.929706708816247,0.901121992010545,-1.03172125090625,0.302202719243609,NA,"NIP7P3"
"ENSG00000236326",0.332175084505556,-0.000529842816106707,1.19512267602833,-0.000443337597666122,0.999646267787186,NA,"ENSG00000236326"
"TSPYL4",261.533149259355,0.459715294343362,0.366969172192281,1.25273545894063,0.210301996877464,0.999975617694874,"TSPYL4"
"DSE",692.097317950701,-0.0699830245375899,0.294262988882202,-0.237824759421597,0.812017014308698,0.999975617694874,"DSE"
"ENSG00000237021",9.28012734099552,0.98628368468451,0.488865780349331,2.01749380776813,0.0436440065852496,0.919475055925715,"ENSG00000237021"
"ENSG00000233558",1.20606022633969,1.02062673151249,0.482693092541839,2.11444238022534,0.0344775011841923,NA,"ENSG00000233558"
"TSPYL1",624.364537401685,0.0288205428938744,0.277754451681355,0.103762667778725,0.917357693294214,0.999975617694874,"TSPYL1"
"ENSG00000240050",7.95250150261164,0.561068021927714,0.491029731872886,1.14263553815303,0.253189943973963,0.999975617694874,"ENSG00000240050"
"CBX3P9",1.2582449728149,0.300861360439842,0.503723170486125,0.597275206041229,0.550323655245407,NA,"CBX3P9"
"KRT18P22",0.209849124232675,-0.0417501289397559,1.49720141920503,-0.0278854457417786,0.977753516546039,NA,"KRT18P22"
"ENSG00000244158",0.122271215552655,0.562804683607458,1.88479521859174,0.298602563321424,0.765243309386042,NA,"ENSG00000244158"
"FAM26F",25.7326736288707,0.226045402573496,0.590105089870606,0.383059571004651,0.701675595142911,0.999975617694874,"FAM26F"
"ENSG00000234117",0.0350235702527716,0.384177967555478,3.33320894409395,0.11525769131161,0.908240872251226,NA,"ENSG00000234117"
"TRAPPC3L",1.22317028394244,0.360824075577712,0.598543937642158,0.602836404958181,0.546617525801588,NA,"TRAPPC3L"
"FAM26E",94.9996762463061,-0.279042685962542,0.342778652012569,-0.814060865004833,0.41561008384529,0.999975617694874,"FAM26E"
"FAM26D",0.367133890507223,-1.18216166130926,1.9898350571171,-0.594100328608136,0.552445011116681,NA,"FAM26D"
"RWDD1",193.163378516634,-0.0283482217517101,0.296079250231599,-0.0957453848236091,0.923722794573265,0.999975617694874,"RWDD1"
"RSPH4A",25.2055917844728,1.22027704896944,0.614119148199195,1.98703631461046,0.0469183727179401,0.930628726747157,"RSPH4A"
"ZUFSP",80.9694621066706,0.157929674255194,0.306266813552308,0.515660421785205,0.606091601836511,0.999975617694874,"ZUFSP"
"KPNA5",203.47677219936,0.182077879433182,0.341408470059492,0.533313890547161,0.593816313781168,0.999975617694874,"KPNA5"
"FAM162B",15.2823849383105,0.800058803875222,0.56278443910984,1.42160789864887,0.155140110504079,0.999975617694874,"FAM162B"
"GPRC6A",0.891326518560454,-2.05834102520439,2.04872340798864,-1.00469444395385,0.315044004337301,NA,"GPRC6A"
"RFX6",0.734136989172836,-1.52931677163737,1.56274843562845,-0.978607136485382,0.327774131766208,NA,"RFX6"
"RPS29P13",0,NA,NA,NA,NA,NA,"RPS29P13"
"RNA5SP214",0,0,0,0,1,NA,"RNA5SP214"
"VGLL2",0.541240283902716,-1.52216825622992,1.73963085032451,-0.87499497720794,0.381576638662399,NA,"VGLL2"
"ROS1",866.796154151978,0.37226213597073,0.856149398390345,0.434809785150377,0.663700501708776,0.999975617694874,"ROS1"
"RN7SKP18",0.0174605456535015,-0.0692352353367703,3.33320894409395,-0.0207713457205996,0.983428055608598,NA,"RN7SKP18"
"RN7SKP51",0.0698794923527486,-0.27533163445352,3.33320894409395,-0.0826025727974163,0.934167555472401,NA,"RN7SKP51"
"ENSG00000282218",0.734435542029322,0.332252254793992,1.28813496654478,0.257932796968634,0.796458772716436,NA,"ENSG00000282218"
"RAP1BP3",0.0524413073222605,-0.206632834747937,3.33320894409395,-0.0619921637718108,0.950569072404398,NA,"RAP1BP3"
"ENSG00000226181",0.0350185845563747,-0.137934035042354,3.33320894409395,-0.0413817547462052,0.966991557940207,NA,"ENSG00000226181"
"DCBLD1",302.638780566833,-0.361765726631676,0.276106688980942,-1.31023890789059,0.190115027245479,0.999975617694874,"DCBLD1"
"RNU6-253P",0.174474147964345,0.0956435712097281,3.33320894409395,0.0286941421356729,0.97710852834423,NA,"RNU6-253P"
"GOPC",391.742067223746,-0.0578484180362058,0.280802323312742,-0.206011180227228,0.8367821780665,0.999975617694874,"GOPC"
"NEPNP",2.5500424173468,-0.718656402121315,0.762893550643254,-0.942013995943944,0.346185474340449,0.999975617694874,"NEPNP"
"NUS1",225.559468851355,-0.306400109378924,0.371946504536732,-0.823774670931648,0.410067602138002,0.999975617694874,"NUS1"
"SLC35F1",7.71802612460533,0.127444116384332,0.497727900588085,0.256051782979719,0.797910852668601,0.999975617694874,"SLC35F1"
"ENSG00000230202",1.87120001457398,0.857405213538975,0.682552200885889,1.25617529681414,0.209052421090712,NA,"ENSG00000230202"
"ENSG00000216809",11.5014548829674,0.550667549721711,0.452182845674845,1.21779840829629,0.223300589347504,0.999975617694874,"ENSG00000216809"
"CEP85L",260.576516273238,0.071983417329865,0.342436173776669,0.2102097349587,0.833503981913025,0.999975617694874,"CEP85L"
"ENSG00000169075",0.174809051354439,0.356705387518106,2.14334332029275,0.166424755260107,0.867822693724048,NA,"ENSG00000169075"
"PLN",37.9394021097469,-0.146928293677457,0.570278976818794,-0.257642837365446,0.796682566043445,0.999975617694874,"PLN"
"SSXP10",0.576347869918857,-0.158363510336122,1.77570314796786,-0.0891835499178767,0.928936038542475,NA,"SSXP10"
"ENSG00000225549",0.244385114156182,-0.962320969270026,2.96121051972379,-0.324975533775892,0.745199588775879,NA,"ENSG00000225549"
"MCM9",290.380602367442,-0.194705139234161,0.3022986380368,-0.644082092127912,0.519522202173222,0.999975617694874,"MCM9"
"ASF1A",169.484284668569,-0.272552475919381,0.332133910419412,-0.820610203803661,0.411868333667417,0.999975617694874,"ASF1A"
"ENSG00000253194",1.7647761020442,0.103613840798173,0.497409735475508,0.208306821134333,0.834989405971588,NA,"ENSG00000253194"
"FAM184A",139.454673705889,0.407204997162237,0.522633905460242,0.779140030732685,0.435897231477583,0.999975617694874,"FAM184A"
"ENSG00000222649",0,NA,NA,NA,NA,NA,"ENSG00000222649"
"MIR548B",0.524416880817303,0.26356431348327,1.01535061009246,0.259579608130899,0.795188067614489,NA,"MIR548B"
"ENSG00000220139",0.174509027112743,-0.426468073437694,2.1436684038898,-0.198943116698388,0.842307241320124,NA,"ENSG00000220139"
"MAN1A1",641.933180074559,-0.461317239046471,0.386731239654359,-1.19286261812925,0.232923181499225,0.999975617694874,"MAN1A1"
"ENSG00000216316",7.75726977403028,0.260600094001081,0.411957376869962,0.632589944088662,0.527001455569769,0.999975617694874,"ENSG00000216316"
"RNU6-194P",0.0174544019925892,-0.0692352353367703,3.33320894409395,-0.0207713457205996,0.983428055608598,NA,"RNU6-194P"
"MIR3144",0.664860865953483,-0.000433560152540526,1.42281367925667,-0.0003047202587812,0.999756868413917,NA,"MIR3144"
"RNU6-214P",0.0525445708798113,0.0544231665509792,3.33320894409395,0.0163275592570968,0.986973071362135,NA,"RNU6-214P"
"RNA5SP215",0.509949211250885,0.550438222961026,2.07442001009218,0.265345600352441,0.790743239057409,NA,"RNA5SP215"
"COX6A1P3",0,NA,NA,NA,NA,NA,"COX6A1P3"
"TBC1D32",149.670180277861,0.169685237758643,0.311879308374358,0.544073406610756,0.586390959648326,0.999975617694874,"TBC1D32"
"RNU6-1286P",0,NA,NA,NA,NA,NA,"RNU6-1286P"
"ENSG00000207403",0.0348874180633181,-0.137934035042354,3.33320894409395,-0.0413817547462052,0.966991557940207,NA,"ENSG00000207403"
"ENSG00000220447",0.139619812703562,1.53327622767402,3.33066021679878,0.460352040697717,0.645263552987875,NA,"ENSG00000220447"
"ENSG00000272714",0,NA,NA,NA,NA,NA,"ENSG00000272714"
"GJA1",798.208618850504,-0.243333859352521,0.448991894648603,-0.54195601803227,0.587848804991798,0.999975617694874,"GJA1"
"RNU4-35P",0.104901431041594,-0.41272902861978,3.07254695700742,-0.134327980790818,0.893143228274459,NA,"RNU4-35P"
"ENSG00000219784",0.227454633157675,0.411666068598367,1.88263249244449,0.218665124632924,0.826910918033348,NA,"ENSG00000219784"
"RNU4-76P",0.069940457757357,-0.0142751874088184,3.2149517570155,-0.00444024933738674,0.996457205249102,NA,"RNU4-76P"
"RNU2-8P",0.296827609791265,-0.646304688305955,2.94873071958422,-0.219180640678199,0.826509335348848,NA,"RNU2-8P"
"ENSG00000220326",0.0872453582821383,0.439138920722618,3.13370505022226,0.140134094844527,0.888554042579467,NA,"ENSG00000220326"
"SLC25A5P7",0.0869572386001101,0.178081568438728,3.33320894409395,0.0534264642347932,0.957392119909431,NA,"SLC25A5P7"
"RPL23AP48",0.279479184869605,0.98384798465048,1.3859589516024,0.709868054543021,0.477785962104402,NA,"RPL23AP48"
"ENSG00000217139",0.262006611487106,-0.247848772997362,1.37300498587531,-0.180515566619997,0.856747834736466,NA,"ENSG00000217139"
"HMGB3P18",0.0872794861753904,-0.0829738016766053,3.13354577344967,-0.0264792052439881,0.978875119594701,NA,"HMGB3P18"
"RNU1-18P",2.76000239650998,-0.605927134484903,0.707514032216685,-0.85641712657839,0.391767094751963,0.999975617694874,"RNU1-18P"
"HSF2",90.3878965558242,0.0541197762946833,0.362238798807334,0.149403588110583,0.881235180606277,0.999975617694874,"HSF2"
"ENSG00000279453",58.2787678281585,-0.313653639338838,0.425012792035544,-0.737986350567554,0.460522743605104,0.999975617694874,"ENSG00000279453"
"SERINC1",1351.61925701925,-0.186596604063403,0.288707963562705,-0.646316096586909,0.518074665469308,0.999975617694874,"SERINC1"
"ENSG00000275339",0.0174605456535015,-0.0692352353367703,3.33320894409395,-0.0207713457205996,0.983428055608598,NA,"ENSG00000275339"
"PKIB",47.9800174486592,0.880112752658152,0.581615277630314,1.51322151688314,0.130223400455248,0.999975617694874,"PKIB"
"ENSG00000279114",24.2553083146901,0.483557995486798,0.45695903100744,1.05820864163843,0.289960332376074,0.999975617694874,"ENSG00000279114"
"ENSG00000277408",0,NA,NA,NA,NA,NA,"ENSG00000277408"
"ENSG00000272472",3.18251995480015,0.532443001958391,0.814375629207479,0.653805176459597,0.513237331070677,0.999975617694874,"ENSG00000272472"
"RN7SL564P",11.0240787790226,-1.53936275080303,0.614629137921349,-2.5045391697652,0.0122611028099536,0.625441869361013,"RN7SL564P"
"FABP7",7.9302481131737,-0.972350555494714,1.12677724902644,-0.862948339021618,0.388165871493181,0.999975617694874,"FABP7"
"SMPDL3A",105.784441291438,0.83060897498809,0.47658227673124,1.74284486759565,0.0813607165687615,0.999975617694874,"SMPDL3A"
"ATP5LP2",0.12247531266653,0.0406884622200664,1.88451399742486,0.0215909578149412,0.982774246470278,NA,"ATP5LP2"
"CLVS2",0.419028639362327,0.178089509264342,1.07199473490419,0.166129089505518,0.868055362119686,NA,"CLVS2"
"TRDN",5.80300775855432,0.663049753552284,0.940783456494928,0.70478466534967,0.480944252991541,0.999975617694874,"TRDN"
"ENSG00000235535",0.0872000659458175,0.178081568438728,3.33320894409395,0.0534264642347932,0.957392119909431,NA,"ENSG00000235535"
"NKAIN2",29.0628672282774,0.0119852480417048,0.867473050398537,0.0138162771007105,0.988976556524644,0.999975617694874,"NKAIN2"
"ENSG00000237321",16.4334554798873,0.509766563716794,1.37032972015739,0.372002851735745,0.709890726108396,0.999975617694874,"ENSG00000237321"
"RNF217-AS1",47.0831668576668,-0.692005922449534,0.574549622473694,-1.20443195049043,0.228422669075318,0.999975617694874,"RNF217-AS1"
"RNF217",583.287152295606,-0.352611429512394,0.358095520565345,-0.984685396108019,0.324778628346898,0.999975617694874,"RNF217"
"TPD52L1",178.936476238767,-0.238174299745045,0.436957713744937,-0.545074024906843,0.585702606683902,0.999975617694874,"TPD52L1"
"HDDC2",176.072577540239,-0.124395547061075,0.231077123262718,-0.538329131437411,0.590349843006382,0.999975617694874,"HDDC2"
"ENSG00000226409",1.08309634652614,0.195868630474817,0.608763520369768,0.321748304425082,0.747643380397347,NA,"ENSG00000226409"
"ENSG00000237742",2.55061070431661,-0.590653588835662,0.629154716937013,-0.9388049917375,0.347830875569382,0.999975617694874,"ENSG00000237742"
"LINC02523",0.209885107398732,0.480366879305379,1.47888056162769,0.32481790062659,0.745318895799566,NA,"LINC02523"
"HEY2",32.5200162250433,-0.154636752518571,0.46268809529442,-0.334213812914662,0.738218221508593,0.999975617694874,"HEY2"
"NCOA7",746.990867381112,0.126137106290902,0.311234155683887,0.405280410222767,0.685271404458018,0.999975617694874,"NCOA7"
"NCOA7-AS1",0.13984973470159,-0.0280115486725555,2.15525633035283,-0.0129968525219317,0.989630303972896,NA,"NCOA7-AS1"
"RN7SKP56",8.8210538186652,0.27135762172887,0.475094325759388,0.571165781226988,0.567887271402313,0.999975617694874,"RN7SKP56"
"HINT3",233.746190112597,-0.207654894195764,0.311563577765062,-0.666492841317763,0.50509613785037,0.999975617694874,"HINT3"
"RNA5SP216",0.174560615809106,1.85547685902393,3.32282321952288,0.558403723713703,0.576568730640379,NA,"RNA5SP216"
"TRMT11",168.204179458455,-0.0560676084677594,0.396645636186001,-0.141354406434128,0.887589970926239,0.999975617694874,"TRMT11"
"ENSG00000231842",10.6497136409151,0.232888812310067,0.409188813126228,0.569147554476824,0.569256008515189,0.999975617694874,"ENSG00000231842"
"PPP1R14BP5",0.0347933310822079,-0.137934035042354,3.33320894409395,-0.0413817547462052,0.966991557940207,NA,"PPP1R14BP5"
"CENPW",39.6890200160118,-0.0929476296521446,0.401969272834621,-0.231230683372123,0.817135593950878,0.999975617694874,"CENPW"
"MIR588",0.0699681958205334,-0.0142756331546042,3.33320894409395,-0.00428284976850877,0.996582790740338,NA,"MIR588"
"RNU6-200P",0.0872185451582952,-0.344030434159103,3.33320894409395,-0.103212981823022,0.917793936934591,NA,"RNU6-200P"
"VIM2P",0.174774266839153,0.617761337677343,2.48802503574681,0.248293859105768,0.80390704999666,NA,"VIM2P"
"ENSG00000275953",0.0175078234658761,-0.0692352353367703,3.33320894409395,-0.0207713457205996,0.983428055608598,NA,"ENSG00000275953"
